entry_time,exit_time,direction,entry_price,exit_price,contracts,gross_pnl,fees,net_pnl,bars_held,exit_reason
2012-01-11 14:35:00,2012-01-11 19:00:00,1,5745.5,5748.0,2,100.0,5.6,94.4,53,spread_decay
2012-01-12 16:30:00,2012-01-12 20:50:00,1,5751.75,5763.25,2,460.0,5.6,454.4,52,spread_decay
2012-01-17 15:50:00,2012-01-17 20:10:00,1,5778.0,5768.25,3,-585.0,8.399999999999999,-593.4,52,stop_loss
2012-01-19 17:35:00,2012-01-19 19:25:00,1,5822.5,5822.25,4,-20.0,11.2,-31.2,22,spread_decay
2012-01-25 18:00:00,2012-01-25 19:00:00,-1,5827.0,5846.25,1,-385.0,2.8,-387.8,12,stop_loss
2012-02-01 19:05:00,2012-02-02 00:05:00,1,5872.75,5873.25,3,30.0,8.399999999999999,21.6,51,hawkes_cooldown
2012-02-09 16:10:00,2012-02-09 23:15:00,1,5935.25,5942.25,2,280.0,5.6,274.4,76,hawkes_cooldown
2012-02-15 14:50:00,2012-02-15 18:05:00,1,5969.0,5952.25,2,-670.0,5.6,-675.6,39,stop_loss
2012-02-16 14:35:00,2012-02-16 16:55:00,-1,5939.0,5950.75,3,-705.0,8.399999999999999,-713.4,28,stop_loss
2012-02-17 14:35:00,2012-02-20 01:10:00,-1,5972.25,5979.25,2,-280.0,5.6,-285.6,106,hawkes_cooldown
2012-02-28 14:40:00,2012-02-28 20:45:00,1,5998.0,6015.75,2,710.0,5.6,704.4,73,take_profit
2012-03-01 19:15:00,2012-03-01 20:20:00,1,6027.25,6019.5,4,-620.0,11.2,-631.2,13,stop_loss
2012-03-05 17:20:00,2012-03-05 23:55:00,-1,5995.25,5998.25,2,-120.0,5.6,-125.6,68,hawkes_cooldown
2012-03-08 16:05:00,2012-03-08 21:35:00,1,6012.0,6019.25,2,290.0,5.6,284.4,63,spread_decay
2012-03-13 13:45:00,2012-03-13 15:05:00,1,6050.25,6052.25,3,120.0,8.399999999999999,111.6,16,spread_decay
2012-03-13 17:55:00,2012-03-13 19:15:00,1,6063.5,6071.75,5,825.0,14.0,811.0,16,take_profit
2012-03-14 15:00:00,2012-03-14 18:20:00,1,6093.25,6079.75,2,-540.0,5.6,-545.6,40,stop_loss
2012-03-21 14:00:00,2012-03-21 19:45:00,1,6126.25,6129.75,2,140.0,5.6,134.4,69,spread_decay
2012-03-23 14:40:00,2012-03-25 22:05:00,-1,6104.75,6123.0,2,-730.0,5.6,-735.6,68,stop_loss
2012-03-26 15:50:00,2012-03-26 18:25:00,1,6145.0,6156.5,4,920.0,11.2,908.8,31,take_profit
2012-03-26 18:30:00,2012-03-26 21:20:00,1,6155.75,6166.75,3,660.0,8.399999999999999,651.6,31,take_profit
2012-03-28 13:45:00,2012-03-28 15:40:00,1,6171.75,6158.0,2,-550.0,5.6,-555.6,23,stop_loss
2012-03-30 16:05:00,2012-04-01 23:35:00,-1,6144.25,6152.0,2,-310.0,5.6,-315.6,69,hawkes_cooldown
2012-04-04 15:45:00,2012-04-04 19:40:00,-1,6125.0,6131.0,2,-240.0,5.6,-245.6,47,spread_decay
2012-04-17 18:45:00,2012-04-17 20:05:00,1,6113.0,6104.0,4,-720.0,11.2,-731.2,16,stop_loss
2012-04-18 13:40:00,2012-04-18 15:40:00,1,6106.25,6094.75,2,-460.0,5.6,-465.6,24,spread_decay
2012-04-19 13:40:00,2012-04-19 17:00:00,1,6098.0,6086.0,1,-240.0,2.8,-242.8,40,spread_decay
2012-04-24 13:35:00,2012-04-24 17:55:00,-1,6036.25,6017.0,2,770.0,5.6,764.4,52,take_profit
2012-04-24 18:00:00,2012-04-24 20:05:00,-1,6014.25,6027.5,2,-530.0,5.6,-535.6,25,stop_loss
2012-04-25 14:05:00,2012-04-25 22:30:00,1,6090.75,6093.0,1,45.0,2.8,42.2,91,spread_decay
2012-04-27 16:55:00,2012-04-27 18:15:00,1,6126.0,6128.75,3,165.0,8.399999999999999,156.6,16,spread_decay
2012-04-30 19:45:00,2012-04-30 23:10:00,-1,6109.25,6109.0,3,15.0,8.399999999999999,6.600000000000001,31,hawkes_cooldown
2012-05-01 16:15:00,2012-05-01 19:30:00,-1,6135.0,6119.75,3,915.0,8.399999999999999,906.6,39,take_profit
2012-05-03 16:25:00,2012-05-03 23:10:00,-1,6095.5,6084.25,2,450.0,5.6,444.4,71,hawkes_cooldown
2012-06-14 13:40:00,2012-06-14 14:20:00,-1,5907.75,5924.25,2,-660.0,5.6,-665.6,8,stop_loss
2012-06-14 17:15:00,2012-06-14 19:00:00,-1,5929.25,5911.75,2,700.0,5.6,694.4,21,take_profit
2012-06-14 19:05:00,2012-06-14 19:15:00,-1,5915.5,5934.25,2,-750.0,5.6,-755.6,2,stop_loss
2012-06-15 15:35:00,2012-06-17 22:05:00,1,5951.0,5976.75,2,1030.0,5.6,1024.4,57,take_profit
2012-06-18 16:35:00,2012-06-18 22:40:00,1,5973.5,5985.25,2,470.0,5.6,464.4,62,hawkes_cooldown
2012-06-26 14:35:00,2012-06-26 16:25:00,1,5933.0,5934.75,1,35.0,2.8,32.2,22,spread_decay
2012-06-28 17:20:00,2012-06-28 19:40:00,-1,5909.0,5923.75,2,-590.0,5.6,-595.6,28,stop_loss
2012-06-29 16:15:00,2012-06-29 19:50:00,1,5986.5,6001.5,3,900.0,8.399999999999999,891.6,43,take_profit
2012-07-02 14:30:00,2012-07-02 22:30:00,1,6006.25,6013.0,1,135.0,2.8,132.2,85,hawkes_cooldown
2012-07-05 15:05:00,2012-07-05 21:00:00,1,6043.75,6038.25,2,-220.0,5.6,-225.6,68,spread_decay
2012-07-06 16:30:00,2012-07-06 19:35:00,-1,5989.25,6001.75,2,-500.0,5.6,-505.6,37,stop_loss
2012-07-12 14:00:00,2012-07-12 17:25:00,-1,5924.0,5941.5,2,-700.0,5.6,-705.6,41,stop_loss
2012-07-18 16:00:00,2012-07-18 18:25:00,1,6014.25,6016.0,2,70.0,5.6,64.4,29,spread_decay
2012-07-19 13:35:00,2012-07-19 22:35:00,1,6039.0,6049.75,2,430.0,5.6,424.4,99,hawkes_cooldown
2012-07-20 19:40:00,2012-07-23 02:10:00,-1,6012.75,5997.5,3,915.0,8.399999999999999,906.6,57,take_profit
2012-07-25 13:50:00,2012-07-25 14:55:00,1,5945.75,5927.5,1,-365.0,2.8,-367.8,13,stop_loss
2012-07-31 13:40:00,2012-07-31 23:05:00,1,6040.75,6029.5,2,-450.0,5.6,-455.6,104,hawkes_cooldown
2012-08-02 13:55:00,2012-08-02 20:00:00,1,6021.75,6014.25,1,-150.0,2.8,-152.8,73,spread_decay
2012-08-06 16:00:00,2012-08-06 23:00:00,1,6091.0,6083.5,3,-450.0,8.399999999999999,-458.4,70,hawkes_cooldown
2012-08-13 16:40:00,2012-08-13 19:05:00,1,6108.0,6120.0,3,720.0,8.399999999999999,711.6,29,take_profit
2012-08-16 13:40:00,2012-08-16 15:50:00,1,6142.75,6157.0,3,855.0,8.399999999999999,846.6,26,take_profit
2012-08-16 19:00:00,2012-08-16 20:10:00,1,6167.25,6159.75,4,-600.0,11.2,-611.2,14,stop_loss
2012-08-21 13:40:00,2012-08-21 14:45:00,1,6190.25,6194.25,3,240.0,8.399999999999999,231.6,13,spread_decay
2012-08-30 17:00:00,2012-08-30 20:10:00,-1,6150.5,6148.75,4,140.0,11.2,128.8,38,spread_decay
2012-09-07 13:35:00,2012-09-09 23:15:00,-1,6214.0,6217.5,2,-140.0,5.6,-145.6,95,hawkes_cooldown
2012-09-10 14:15:00,2012-09-10 19:50:00,-1,6207.25,6183.0,2,970.0,5.6,964.4,67,take_profit
2012-09-12 15:25:00,2012-09-12 17:05:00,-1,6180.5,6186.75,2,-250.0,5.6,-255.6,20,spread_decay
2012-09-13 14:05:00,2012-09-13 17:30:00,1,6196.5,6220.75,2,970.0,5.6,964.4,41,take_profit
2012-09-21 13:35:00,2012-09-21 15:50:00,1,6270.0,6265.25,3,-285.0,8.399999999999999,-293.4,27,spread_decay
2012-09-24 13:35:00,2012-09-24 18:55:00,-1,6231.75,6242.75,2,-440.0,5.6,-445.6,64,stop_loss
2012-09-28 18:20:00,2012-09-30 23:10:00,-1,6200.75,6182.0,2,750.0,5.6,744.4,37,take_profit
2012-10-02 14:20:00,2012-10-02 17:40:00,1,6199.75,6185.75,1,-280.0,2.8,-282.8,40,spread_decay
2012-10-08 13:35:00,2012-10-09 03:05:00,-1,6182.75,6185.0,2,-90.0,5.6,-95.6,150,max_hold
2012-10-09 13:50:00,2012-10-09 17:05:00,-1,6155.0,6139.75,1,305.0,2.8,302.2,39,spread_decay
2012-10-15 16:15:00,2012-10-15 19:30:00,-1,6120.75,6131.0,2,-410.0,5.6,-415.6,39,spread_decay
2012-10-16 16:50:00,2012-10-16 20:10:00,1,6171.5,6170.75,2,-30.0,5.6,-35.6,40,spread_decay
2012-10-18 16:35:00,2012-10-19 06:05:00,-1,6151.75,6132.25,1,390.0,2.8,387.2,150,max_hold
2012-11-19 17:40:00,2012-11-20 04:45:00,1,5982.25,5985.0,3,165.0,8.399999999999999,156.6,121,spread_decay
2012-11-20 14:10:00,2012-11-20 15:30:00,1,5993.0,5991.25,3,-105.0,8.399999999999999,-113.4,16,spread_decay
2012-11-23 16:45:00,2012-11-25 23:15:00,1,6031.25,6030.25,4,-80.0,11.2,-91.2,21,spread_decay
